,Symbol,Name,Industry,IndustryCode
0,AAPL,Apple Inc,"컴퓨터, 전화 및 가전제품",571060
1,MSFT,Microsoft Corp,소프트웨어 및 IT서비스,572010
2,AMZN,Amazon.com Inc,다양한 소매업,534020
3,GOOGL,Alphabet Inc Class A,소프트웨어 및 IT서비스,572010
4,TSLA,Tesla Inc,자동차 및 자동차 부품,531010
5,GOOG,Alphabet Inc Class C,소프트웨어 및 IT서비스,572010
6,NVDA,NVIDIA Corp,반도체 및 반도체 장비,571010
7,META,Meta Platforms Inc Class A,소프트웨어 및 IT서비스,572010
8,PEP,PepsiCo Inc,음료,541010
9,COST,Costco Wholesale Corp,다양한 소매업,534020
10,ASML,ASML Holding NV ADR,반도체 및 반도체 장비,571010
11,AVGO,Broadcom Inc,반도체 및 반도체 장비,571010
12,AZN,AstraZeneca PLC ADR,제약,562010
13,CSCO,Cisco Systems Inc,커뮤니케이션 및 네트워킹,571020
14,TMUS,T-Mobile US Inc,통신 서비스,574010
15,TXN,Texas Instruments Inc,반도체 및 반도체 장비,571010
16,AMGN,Amgen Inc,제약,562010
17,ADBE,Adobe Inc,소프트웨어 및 IT서비스,572010
18,HON,Honeywell International Inc,복합 기업,544010
19,CMCSA,Comcast Corp Class A,통신 서비스,574010
20,QCOM,Qualcomm Inc,반도체 및 반도체 장비,571010
21,INTC,Intel Corp,반도체 및 반도체 장비,571010
22,NFLX,Netflix Inc,소프트웨어 및 IT서비스,572010
23,INTU,Intuit Inc,핀테크,573010
24,SNY,Sanofi SA ADR,제약,562010
25,SBUX,Starbucks Corp,호텔 및 엔터테인먼트,533010
26,AMD,Advanced Micro Devices Inc,반도체 및 반도체 장비,571010
27,ADP,Automatic Data Processing Inc,소프트웨어 및 IT서비스,572010
28,GILD,Gilead Sciences Inc,제약,562010
29,PYPL,PayPal Holdings Inc,소프트웨어 및 IT서비스,572010
30,ISRG,Intuitive Surgical Inc,헬스케어 장비 및 용품,561010
31,AMAT,Applied Materials Inc,반도체 및 반도체 장비,571010
32,MDLZ,Mondelez International Inc Class A,식품 및 담배,541020
33,ADI,Analog Devices Inc,반도체 및 반도체 장비,571010
34,PDD,Pinduoduo Inc ADR,소프트웨어 및 IT서비스,572010
35,REGN,Regeneron Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
36,VRTX,Vertex Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
37,BKNG,Booking Holdings Inc,호텔 및 엔터테인먼트,533010
38,JD,JD.Com Inc ADR Class A,다양한 소매업,534020
39,LRCX,Lam Research Corp,반도체 및 반도체 장비,571010
40,CSX,CSX Corp,화물 및 물류 서비스,524050
41,MU,Micron Technology Inc,반도체 및 반도체 장비,571010
42,ABNB,Airbnb Inc Class A,소프트웨어 및 IT서비스,572010
43,MRNA,Moderna Inc,생명과학 및 메디컬 리서치,562020
44,FISV,Fiserv Inc,전문 및 상업 서비스,522030
45,CME,CME Group Inc Class A,투자은행 및 서비스,551020
46,EQIX,Equinix Inc,주택 및 상업용 리츠,601020
47,CHTR,Charter Communications Inc Class A,통신 서비스,574010
48,ATVI,Activision Blizzard Inc,소프트웨어 및 IT서비스,572010
49,KDP,Keurig Dr Pepper Inc,음료,541010
50,ORLY,O'Reilly Automotive Inc,전문품 상점,534030
51,KLAC,KLA Corp,반도체 및 반도체 장비,571010
52,MNST,Monster Beverage Corp,음료,541010
53,MAR,Marriott International Inc Class A,호텔 및 엔터테인먼트,533010
54,PANW,Palo Alto Networks Inc,소프트웨어 및 IT서비스,572010
55,SNPS,Synopsys Inc,소프트웨어 및 IT서비스,572010
56,ADSK,Autodesk Inc,소프트웨어 및 IT서비스,572010
57,AEP,American Electric Power Company Inc,전기 유틸리티,591010
58,MELI,MercadoLibre Inc,소프트웨어 및 IT서비스,572010
59,KHC,Kraft Heinz Co,식품 및 담배,541020
60,DXCM,Dexcom Inc,헬스케어 장비 및 용품,561010
61,CTAS,Cintas Corp,전문 및 상업 서비스,522030
62,LULU,Lululemon Athletica Inc,섬유 및 의류,532020
63,CDNS,Cadence Design Systems Inc,소프트웨어 및 IT서비스,572010
64,PAYX,Paychex Inc,전문 및 상업 서비스,522030
65,NXPI,NXP Semiconductors NV,반도체 및 반도체 장비,571010
66,FTNT,Fortinet Inc,소프트웨어 및 IT서비스,572010
67,ENPH,Enphase Energy Inc,재생에너지,502010
68,BIIB,Biogen Inc,제약,562010
69,NTES,NetEase Inc ADR,소프트웨어 및 IT서비스,572010
70,MCHP,Microchip Technology Inc,반도체 및 반도체 장비,571010
71,WDAY,Workday Inc Class A,소프트웨어 및 IT서비스,572010
72,EXC,Exelon Corp,전기 유틸리티,591010
73,BNTX,BioNTech SE ADR,생명과학 및 메디컬 리서치,562020
74,XEL,Xcel Energy Inc,전기 유틸리티,591010
75,ILMN,Illumina Inc,헬스케어 장비 및 용품,561010
76,DLTR,Dollar Tree Inc,다양한 소매업,534020
77,MRVL,Marvell Technology Inc,반도체 및 반도체 장비,571010
78,TEAM,Atlassian Corp Class A,소프트웨어 및 IT서비스,572010
79,EA,Electronic Arts Inc,소프트웨어 및 IT서비스,572010
80,PCAR,Paccar Inc,"건설장비 및 대형차, 기차, 배",521020
81,IDXX,IDEXX Laboratories Inc,헬스케어 장비 및 용품,561010
82,VOD,Vodafone Group PLC ADR,통신 서비스,574010
83,CSGP,CoStar Group Inc,소프트웨어 및 IT서비스,572010
84,GFS,Globalfoundries Inc,반도체 및 반도체 장비,571010
85,ODFL,Old Dominion Freight Line Inc,화물 및 물류 서비스,524050
86,ROST,Ross Stores Inc,전문품 상점,534030
87,WBA,Walgreens Boots Alliance Inc,식품 및 약품소매,543010
88,IBKR,Interactive Brokers Group Inc Class A,투자은행 및 서비스,551020
89,NDAQ,Nasdaq Inc,투자은행 및 서비스,551020
90,SBAC,SBA Communications Corp Class A,주택 및 상업용 리츠,601020
91,CRWD,CrowdStrike Holdings Inc Class A,소프트웨어 및 IT서비스,572010
92,ON,ON Semiconductor Corp,반도체 및 반도체 장비,571010
93,CEG,Constellation Energy Corp,전기 유틸리티,591010
94,BKR,Baker Hughes Co Class A,오일 및 가스 장비 및 서비스,501030
95,RIVN,Rivian Automotive Inc Class A,자동차 및 자동차 부품,531010
96,BIDU,Baidu Inc ADR,소프트웨어 및 IT서비스,572010
97,FAST,Fastenal Co,"건설장비 및 대형차, 기차, 배",521020
98,CTSH,Cognizant Technology Solutions Corp Class A,소프트웨어 및 IT서비스,572010
99,CPRT,Copart Inc,전문품 상점,534030
100,GMAB,Genmab A/S ADR,생명과학 및 메디컬 리서치,562020
101,VRSK,Verisk Analytics Inc,소프트웨어 및 IT서비스,572010
102,FANG,Diamondback Energy Inc,오일 및 가스,501020
103,TROW,T Rowe Price Group Inc,투자은행 및 서비스,551020
104,RPRX,Royalty Pharma PLC Class A,제약,562010
105,WBD,Warner Bros Discovery Inc Series A,미디어 및 출판,533020
106,ALNY,Alnylam Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
107,WTW,Willis Towers Watson PLC,보험,553010
108,CDW,CDW Corp,소프트웨어 및 IT서비스,572010
109,SIRI,Sirius XM Holdings Inc,미디어 및 출판,533020
110,FITB,Fifth Third Bancorp,은행,551010
111,ZM,Zoom Video Communications Inc Class A,소프트웨어 및 IT서비스,572010
112,SGEN,Seagen Inc,생명과학 및 메디컬 리서치,562020
113,DDOG,Datadog Inc Class A,소프트웨어 및 IT서비스,572010
114,EBAY,eBay Inc,소프트웨어 및 IT서비스,572010
115,TSCO,Tractor Supply Co,전문품 상점,534030
116,TTD,Trade Desk Inc Class A,소프트웨어 및 IT서비스,572010
117,CCEP,Coca-Cola Europacific Partners PLC,음료,541010
118,PFG,Principal Financial Group Inc,투자은행 및 서비스,551020
119,MBLY,Mobileye Global Inc Class A,통합 하드웨어 및 소프트웨어,571070
120,HBAN,Huntington Bancshares Inc,은행,551010
121,ANSS,ANSYS Inc,소프트웨어 및 IT서비스,572010
